case_id,rank,expected_carrier,expected_service,expected_estimate_ex_gst,validation_status,source,notes
CASE_008,2,COCHRN,ROAD,55.71,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_008,3,TFMX,ROAD,61.72,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_008,4,TEAMEX,ROAD,66.07,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_008,5,KTI,GENERAL,170.86,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_009,1,STEA,ROAD,47.60,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_009,2,COCHRN,ROAD,55.71,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_009,3,TEAMEX,ROAD,74.57,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_009,4,KTI,GENERAL,170.86,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_010,1,STEA,ROAD,76.16,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_010,2,TEAMEX,ROAD,88.27,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_010,3,COCHRN,ROAD,111.43,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_010,4,KTI,GENERAL,322.41,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_011,1,STEA,ROAD,138.16,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_011,2,COCHRN,ROAD,158.43,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_011,3,TEAMEX,ROAD,193.27,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_011,4,KTI,GENERAL,396.41,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_012,1,STEA,ROAD,47.60,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_012,2,COCHRN,ROAD,55.71,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_012,3,KTI,GENERAL,170.86,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_012,4,TEAMEX,ROAD,378.16,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_013,1,STEA,ROAD,76.16,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_013,2,COCHRN,ROAD,111.43,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_013,3,KTI,GENERAL,322.41,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_013,4,TEAMEX,ROAD,515.88,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_014,1,STEA,ROAD,133.28,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_014,2,COCHRN,ROAD,222.86,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_014,3,KTI,GENERAL,625.52,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_014,4,TEAMEX,ROAD,796.82,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_015,1,STEA,ROAD,47.60,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_015,2,COCHRN,ROAD,55.71,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_015,3,KTI,GENERAL,170.86,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_015,4,TEAMEX,ROAD,431.29,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_016,1,STEA,ROAD,76.16,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_016,2,COCHRN,ROAD,111.43,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_016,3,KTI,GENERAL,322.41,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_016,4,TEAMEX,ROAD,431.71,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_017,1,STEA,ROAD,104.72,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_017,2,COCHRN,ROAD,167.14,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_017,3,KTI,GENERAL,473.96,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_017,4,TEAMEX,ROAD,531.09,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_018,1,STEA,ROAD,133.28,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_018,2,COCHRN,ROAD,222.86,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_018,3,KTI,GENERAL,625.52,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_018,4,TEAMEX,ROAD,677.23,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_019,1,KTI,GENERAL,151.22,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_019,2,TEAMEX,ROAD,189.07,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_019,3,TFMX,ROAD,316.24,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_020,1,KTI,GENERAL,373.21,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_020,2,TEAMEX,ROAD,504.07,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
CASE_020,3,TFMX,ROAD,676.24,generated_from_excel_live,Microsoft Excel automation,Generated on demand from live Excel workbook.
