case_id,rank,expected_carrier,expected_service,expected_estimate_ex_gst,validation_status,source_page,notes
CASE_011,1,STEA,ROAD,138.16,validated_from_excel_screenshot,PDF p.11,
CASE_011,2,COCHRN,ROAD,165.86,validated_from_excel_screenshot,PDF p.11,
CASE_011,3,TEAMEX,ROAD,196.92,validated_from_excel_screenshot,PDF p.11,
CASE_011,4,KTI,GENERAL,402.83,validated_from_excel_screenshot,PDF p.11,
CASE_012,1,STEA,ROAD,47.6,validated_from_excel_screenshot,PDF p.12,
CASE_012,2,COCHRN,ROAD,59.43,validated_from_excel_screenshot,PDF p.12,
CASE_012,3,KTI,GENERAL,174.26,validated_from_excel_screenshot,PDF p.12,
CASE_012,4,TEAMEX,ROAD,386.76,validated_from_excel_screenshot,PDF p.12,
CASE_013,1,STEA,ROAD,76.16,validated_from_excel_screenshot,PDF p.13,
CASE_013,2,COCHRN,ROAD,118.86,validated_from_excel_screenshot,PDF p.13,
CASE_013,3,KTI,GENERAL,328.83,validated_from_excel_screenshot,PDF p.13,
CASE_013,4,TEAMEX,ROAD,530.17,validated_from_excel_screenshot,PDF p.13,
CASE_014,1,STEA,ROAD,133.28,validated_from_excel_screenshot,PDF p.14,
CASE_014,2,COCHRN,ROAD,237.72,validated_from_excel_screenshot,PDF p.14,
CASE_014,3,KTI,GENERAL,637.98,validated_from_excel_screenshot,PDF p.14,
CASE_014,4,TEAMEX,ROAD,822.72,validated_from_excel_screenshot,PDF p.14,
CASE_015,1,STEA,ROAD,47.6,validated_from_excel_screenshot,PDF p.15,
CASE_015,2,COCHRN,ROAD,59.43,validated_from_excel_screenshot,PDF p.15,
CASE_015,3,KTI,GENERAL,174.26,validated_from_excel_screenshot,PDF p.15,
CASE_015,4,TEAMEX,ROAD,446.63,validated_from_excel_screenshot,PDF p.15,
CASE_016,1,STEA,ROAD,76.16,validated_from_excel_screenshot,PDF p.16,
CASE_016,2,COCHRN,ROAD,118.86,validated_from_excel_screenshot,PDF p.16,
CASE_016,3,KTI,GENERAL,328.83,validated_from_excel_screenshot,PDF p.16,
CASE_016,4,TEAMEX,ROAD,447.07,validated_from_excel_screenshot,PDF p.16,
CASE_017,1,STEA,ROAD,104.72,validated_from_excel_screenshot,PDF p.17,
CASE_017,2,COCHRN,ROAD,178.29,validated_from_excel_screenshot,PDF p.17,
CASE_017,3,KTI,GENERAL,483.4,validated_from_excel_screenshot,PDF p.17,
CASE_017,4,TEAMEX,ROAD,550.56,validated_from_excel_screenshot,PDF p.17,
CASE_018,1,STEA,ROAD,133.28,validated_from_excel_screenshot,PDF p.18,
CASE_018,2,COCHRN,ROAD,237.72,validated_from_excel_screenshot,PDF p.18,
CASE_018,3,KTI,GENERAL,637.98,validated_from_excel_screenshot,PDF p.18,
CASE_018,4,TEAMEX,ROAD,702.74,validated_from_excel_screenshot,PDF p.18,
CASE_019,1,KTI,GENERAL,154.23,validated_from_excel_screenshot,PDF p.19,
CASE_019,2,TEAMEX,ROAD,196.89,validated_from_excel_screenshot,PDF p.19,
CASE_019,3,TFMX,ROAD,337.01,validated_from_excel_screenshot,PDF p.19,
CASE_020,1,KTI,GENERAL,376.23,validated_from_excel_screenshot,PDF p.20,
CASE_020,2,TEAMEX,ROAD,511.89,validated_from_excel_screenshot,PDF p.20,
CASE_020,3,TFMX,ROAD,697.01,validated_from_excel_screenshot,PDF p.20,
